NAME,DIAGNOSE,TYPE
pain co-occurrent and due to varicose veins of left leg,class_1,snomedct_us
pain provoked by exertion,class_1,snomedct_us
pain in sacrum,class_1,snomedct_us
pain of right hand due to and following cerebrovascular accident,class_1,snomedct_us
acute onset pain,class_1,snomedct_us
alert confusion voice pain unresponsiveness scale,class_1,snomedct_us
delusional pain,class_1,snomedct_us
neurological pain disorder,class_1,snomedct_us
bilateral amputation stump pain of lower limbs,class_1,snomedct_us
peripheral neurogenic pain,class_1,snomedct_us
pain in lumbar spine,class_1,snomedct_us
psychosocial dysfunction due to chronic pain,class_1,snomedct_us
pain of right shoulder joint,class_1,snomedct_us
pain management medication delivery system handpiece,class_1,snomedct_us
mcgill pain questionnaire,class_1,snomedct_us
pain on application of pressure to tooth,class_1,snomedct_us
visual analog pain scale,class_1,snomedct_us
abdominal pain worse on motion,class_1,snomedct_us
pain due to arthritis,class_1,snomedct_us
pain management (specialty),class_1,snomedct_us
sclerotomal pain,class_1,snomedct_us
plantar heel pain,class_1,snomedct_us
additional pain and sensation observations,class_1,snomedct_us
chronic pain control education,class_1,snomedct_us
pain at rest of right upper limb co-occurrent and due to atherosclerosis,class_1,snomedct_us
pain of left heel,class_1,snomedct_us
bilateral wrist pain,class_1,snomedct_us
bilateral shoulder joint pain,class_1,snomedct_us
able to tolerate pain in body part,class_1,snomedct_us
pain in cheek,class_1,snomedct_us
cyclic pelvic pain,class_1,snomedct_us
malignant bone pain,class_1,snomedct_us
lesser metatarsophalangeal joint pain,class_1,snomedct_us
referral to rapid access chest pain clinic,class_1,snomedct_us
education about pain,class_1,snomedct_us
pain measurement,class_1,snomedct_us
scapulalgia,class_1,snomedct_us
chronic nonmalignant pain,class_1,snomedct_us
metatarsalgia,class_1,snomedct_us
female deep pain on intercourse,class_1,snomedct_us
pain following radiation therapy,class_1,snomedct_us
pain around eye,class_1,snomedct_us
pediatric chronic pain management specialty,class_1,snomedct_us
alimentary tract pain due to vascular insufficiency,class_1,snomedct_us
pain of joint of right foot,class_1,snomedct_us
right subcostal pain,class_1,snomedct_us
chronic post-thoracotomy pain syndrome,class_1,snomedct_us
pain of amputation stump of right lower limb,class_1,snomedct_us
vertebrogenic pain syndrome,class_1,snomedct_us
pain of left thigh,class_1,snomedct_us
pain in left foot,class_1,snomedct_us
no genitourinary pain,class_1,snomedct_us
pain of right knee region,class_1,snomedct_us
genitourinary pain,class_1,snomedct_us
pain radiating to left flank,class_1,snomedct_us
neck pain co-occurrent with neurological deficit following whiplash injury to neck,class_1,snomedct_us
pain in elbow,class_1,snomedct_us
pediatric pain assessment,class_1,snomedct_us
pain provoked by running,class_1,snomedct_us
indifference to pain,class_1,snomedct_us
pain in left sacroiliac joint,class_1,snomedct_us
site of referred pain,class_1,snomedct_us
vaso-occlusive pain episode in sickle cell disease,class_1,snomedct_us
chronic pain following surgical procedure for cancer,class_1,snomedct_us
vertebral joint pain,class_1,snomedct_us
shooting pain,class_1,snomedct_us
characteristics of pain of head and neck region,class_1,snomedct_us
pain radiating to right leg,class_1,snomedct_us
pain radiating to thoracic region left side,class_1,snomedct_us
pain on tooth palpation,class_1,snomedct_us
proximal interphalangeal joint of finger pain,class_1,snomedct_us
right upper limb pain co-occurrent and due to ischemia,class_1,snomedct_us
avpu - alert voice pain unresponsive scale,class_1,snomedct_us
chronic idiopathic pain syndrome,class_1,snomedct_us
neck pain co-occurrent with neck stiffness following whiplash injury to neck,class_1,snomedct_us
increased pain threshold,class_1,snomedct_us
pain of cervix,class_1,snomedct_us
limb stump pain,class_1,snomedct_us
high pain threshold,class_1,snomedct_us
acute ankle pain,class_1,snomedct_us
phantom pain following amputation of lower limb,class_1,snomedct_us
pain on movement of cervical spine,class_1,snomedct_us
finding of affective dimension of pain,class_1,snomedct_us
right inguinal pain,class_1,snomedct_us
verbal rating scale pain intensity score,class_1,snomedct_us
chronic chest pain,class_1,snomedct_us
pain in pinna,class_1,snomedct_us
administration of analgesic,class_1,snomedct_us
responds to pain,class_1,snomedct_us
jaw pain,class_1,snomedct_us
pain in thoracic spine,class_1,snomedct_us
back pain prevention education,class_1,snomedct_us
pain of left upper limb co-occurrent and due to ischemia,class_1,snomedct_us
affective response to pain,class_1,snomedct_us
localized abdominal pain,class_1,snomedct_us
fearful with pain,class_1,snomedct_us
bilateral greater trochanteric pain syndrome of lower limbs,class_1,snomedct_us
acute pain control management,class_1,snomedct_us
scalding pain on urination,class_1,snomedct_us
pain in left arm,class_1,snomedct_us
pain radiating to right shoulder,class_1,snomedct_us
joint pain in right hand,class_1,snomedct_us
pain co-occurrent and due to varicose veins of bilateral legs,class_1,snomedct_us
liver pain,class_1,snomedct_us
pain of right eye,class_1,snomedct_us
pain in left abdominal lumbar region,class_1,snomedct_us
pain of right testicle,class_1,snomedct_us
pain during outflow of dialysate,class_1,snomedct_us
abbey pain scale,class_1,snomedct_us
chronic pain following trauma,class_1,snomedct_us
acute exacerbation of chronic abdominal pain,class_1,snomedct_us
pain of joint of bilateral lower legs,class_1,snomedct_us
chronic primary generalized pain,class_1,snomedct_us
interphalangeal joint of toe pain,class_1,snomedct_us
decreased pain threshold,class_1,snomedct_us
left inguinal pain,class_1,snomedct_us
referred to acute chest pain clinic,class_1,snomedct_us
sensory dimension of pain,class_1,snomedct_us
pain at rest of left upper limb co-occurrent and due to atherosclerosis,class_1,snomedct_us
assessment using abbey pain scale,class_1,snomedct_us
left subcostal pain,class_1,snomedct_us
bony pelvic pain,class_1,snomedct_us
phantom limb syndrome without pain,class_1,snomedct_us
anesthesia and pain medication during labor plan,class_1,snomedct_us
compensated movement at site of pain,class_1,snomedct_us
pain in chin,class_1,snomedct_us
free-standing pain clinic,class_1,snomedct_us
pain during regional anesthesia for cesarean section,class_1,snomedct_us
cramping pain,class_1,snomedct_us
chronic sacral pain for greater than three months,class_1,snomedct_us
pain radiating to left side of chest,class_1,snomedct_us
pain management medication delivery system cassette,class_1,snomedct_us
pain on flushing of implanted venous access device,class_1,snomedct_us
finding related to pain control behavior,class_1,snomedct_us
tiring with pain,class_1,snomedct_us
throbbing pain,class_1,snomedct_us
pain caused by breast implant,class_1,snomedct_us
anorectal pain,class_1,snomedct_us
abbey pain scale score,class_1,snomedct_us
sacroiliac joint pain,class_1,snomedct_us
university of alabama at birmingham pain behavior scale (assessment scale),class_1,snomedct_us
pain in testicle as late effect of injury to testicle,class_1,snomedct_us
cryoanalgesia,class_1,snomedct_us
able to recognize pain in body part,class_1,snomedct_us
pain in coccyx,class_1,snomedct_us
complex regional pain syndrome type i of both upper limbs,class_1,snomedct_us
anterior knee pain,class_1,snomedct_us
hunger pain,class_1,snomedct_us
finding of pain sense,class_1,snomedct_us
history of pain at rest due to peripheral vascular disease,class_1,snomedct_us
pain of cardiovascular structure,class_1,snomedct_us
vulvovaginal pain,class_1,snomedct_us
pain control techniques education,class_1,snomedct_us
pain of left hand,class_1,snomedct_us
assessment using visual analog pain scale,class_1,snomedct_us
limb pain at rest due to atherosclerosis of artery of lower limb,class_1,snomedct_us
pain provoked by light,class_1,snomedct_us
"postoperative pain, chronic",class_1,snomedct_us
bilateral thumb pain,class_1,snomedct_us
smarting pain,class_1,snomedct_us
pain provoked by altercation,class_1,snomedct_us
onset of contractions,class_1,snomedct_us
injection site pain,class_1,snomedct_us
finding of present pain intensity,class_1,snomedct_us
chronic vaginal pain,class_1,snomedct_us
central crushing chest pain,class_1,snomedct_us
chronic thoracic back pain,class_1,snomedct_us
pain of left forearm,class_1,snomedct_us
complex regional pain syndrome of upper limb,class_1,snomedct_us
peripheral neuropathic pain,class_1,snomedct_us
acute sensitivity to pain,class_1,snomedct_us
localized chest pain,class_1,snomedct_us
chest pain due to pericarditis,class_1,snomedct_us
periumbilical pain,class_1,snomedct_us
"abdomen, acute",class_1,snomedct_us
chest pain on breathing,class_1,snomedct_us
pain control behavior,class_1,snomedct_us
manchester foot pain and disability index,class_1,snomedct_us
characteristic of pain,class_1,snomedct_us
visual analog scale pain score,class_1,snomedct_us
pain of lymphoreticular structure,class_1,snomedct_us
chronic primary orofacial pain,class_1,snomedct_us
site of gastrointestinal tract pain,class_1,snomedct_us
ability to sense pain,class_1,snomedct_us
pain in lymph nodes after alcohol consumption,class_1,snomedct_us
lumbosacral nerve root pain,class_1,snomedct_us
pain management medication delivery system pump,class_1,snomedct_us
minimizing pain,class_1,snomedct_us
post-mastectomy pain,class_1,snomedct_us
pain in right hand,class_1,snomedct_us
acute chest pain,class_1,snomedct_us
familial episodic pain syndrome,class_1,snomedct_us
working through the pain of grief,class_1,snomedct_us
excruciating present pain,class_1,snomedct_us
bilateral chronic pain of upper limbs,class_1,snomedct_us
persistent idiopathic facial pain,class_1,snomedct_us
pain control care plan,class_1,snomedct_us
generalized aches and pains,class_1,snomedct_us
"complex regional pain syndrome, type ii, upper limb",class_1,snomedct_us
pain in right lumbar region of back,class_1,snomedct_us
right iliac fossa pain,class_1,snomedct_us
central post-stroke pain,class_1,snomedct_us
central pain,class_1,snomedct_us
pain of nose,class_1,snomedct_us
evaluation of response to pain management instruction,class_1,snomedct_us
upper chest pain,class_1,snomedct_us
chronic pain clinic,class_1,snomedct_us
left iliac fossa pain,class_1,snomedct_us
sore nipple,class_1,snomedct_us
right upper quadrant pain,class_1,snomedct_us
able to manage pain in body part,class_1,snomedct_us
pain at rest of left lower limb co-occurrent and due to atherosclerosis of bypass graft,class_1,snomedct_us
pain crisis,class_1,snomedct_us
chronic pain of cardiac implantable electronic device pocket following implantation of cardiac implantable electronic device,class_1,snomedct_us
low back pain co-occurrent and due to bilateral sciatica,class_1,snomedct_us
demonstrates adequate pain control throughout the perioperative period,class_1,snomedct_us
drugs used in neuropathic pain,class_1,snomedct_us
chronic pain due to malignant neoplastic disease,class_1,snomedct_us
foot joint pain,class_1,snomedct_us
pain of left eye,class_1,snomedct_us
pain at rest of left lower limb co-occurrent and due to atherosclerosis,class_1,snomedct_us
pain in finger of left hand,class_1,snomedct_us
periorbital pain of right eye,class_1,snomedct_us
assessment of psychological response to pain,class_1,snomedct_us
vaginal pain,class_1,snomedct_us
pain self efficacy questionnaire score,class_1,snomedct_us
complete pain relief response to treatment,class_1,snomedct_us
pain on tooth percussion,class_1,snomedct_us
pain on joint movement,class_1,snomedct_us
liaising with pain management specialist,class_1,snomedct_us
myofascial pain syndrome of lower back,class_1,snomedct_us
right temporomandibular joint pain dysfunction syndrome,class_1,snomedct_us
chest wall pain,class_1,snomedct_us
hereditary sensory and autonomic neuropathy type 7,class_1,snomedct_us
post-episiotomy pain,class_1,snomedct_us
able to recognize own emotional pain and distress,class_1,snomedct_us
liaising about pain management plan,class_1,snomedct_us
chronic pain after cancer treatment,class_1,snomedct_us
pain in female pelvis,class_1,snomedct_us
bilateral temporomandibular joint pain,class_1,snomedct_us
pain due to varicose veins of lower extremity,class_1,snomedct_us
pain in limb - multiple,class_1,snomedct_us
preventing pain,class_1,snomedct_us
acute abdominal pain,class_1,snomedct_us
characteristic of pain at anatomical site,class_1,snomedct_us
greater trochanteric pain syndrome of right lower limb,class_1,snomedct_us
pain tolerance level finding,class_1,snomedct_us
pain of joint of left foot,class_1,snomedct_us
lower abdominal pain,class_1,snomedct_us
low pain threshold,class_1,snomedct_us
tightening pain,class_1,snomedct_us
abdominal pain - cause unknown,class_1,snomedct_us
intractable abdominal pain,class_1,snomedct_us
alteration in comfort: chronic pain,class_1,snomedct_us
myofascial neck pain,class_1,snomedct_us
pain due to neoplastic disease,class_1,snomedct_us
brief pain coping inventory score,class_1,snomedct_us
griping pain,class_1,snomedct_us
metacarpophalangeal joint pain,class_1,snomedct_us
back pain,class_1,snomedct_us
orofacial neuropathic pain,class_1,snomedct_us
assessment of knowledge about pain,class_1,snomedct_us
pain in left lumbar region of back,class_1,snomedct_us
intermittent pain,class_1,snomedct_us
pain in right sacroiliac joint,class_1,snomedct_us
electric shock type pain,class_1,snomedct_us
moderate pain,class_1,snomedct_us
pain at rest of right lower limb co-occurrent and due to atherosclerosis,class_1,snomedct_us
pain provoked by temperature,class_1,snomedct_us
under care of pain management specialist,class_1,snomedct_us
cervical discogenic pain,class_1,snomedct_us
consultation for pain,class_1,snomedct_us
pain of right lower limb co-occurrent and due to ischemia,class_1,snomedct_us
pain in epigastric region on palpation,class_1,snomedct_us
neurogenic pain,class_1,snomedct_us
time from onset of pain to call for help,class_1,snomedct_us
pain in lower limb,class_1,snomedct_us
monitoring pain,class_1,snomedct_us
back pain complicating pregnancy,class_1,snomedct_us
pain of right arm only,class_1,snomedct_us
epigastric pain,class_1,snomedct_us
pain on passive stretch of joint,class_1,snomedct_us
swallowing painful,class_1,snomedct_us
pain in right heel,class_1,snomedct_us
flank pain,class_1,snomedct_us
paroxysmal nerve pain,class_1,snomedct_us
greater trochanteric pain syndrome of left lower limb,class_1,snomedct_us
myofascial pain syndrome of neck,class_1,snomedct_us
low back pain co-occurrent with neuralgia of left sciatic nerve,class_1,snomedct_us
pain radiating to lower abdomen,class_1,snomedct_us
pain assessment in advanced dementia scale,class_1,snomedct_us
pain radiating to neck,class_1,snomedct_us
pain of left acromioclavicular joint,class_1,snomedct_us
pain of right calf,class_1,snomedct_us
pain-relief microcurrent skin patch,class_1,snomedct_us
pain of left ankle joint,class_1,snomedct_us
frontal sinus pain,class_1,snomedct_us
psychosomatic abdominal pain,class_1,snomedct_us
discharge from pain management service,class_1,snomedct_us
sympathetically maintained pain,class_1,snomedct_us
earache,class_1,snomedct_us
seen by pain management nurse,class_1,snomedct_us
pain of left lower leg,class_1,snomedct_us
pain of digestive structure,class_1,snomedct_us
hypoalgesia,class_1,snomedct_us
education on self-management of pain,class_1,snomedct_us
absence of pain sensation,class_1,snomedct_us
pain in hallux,class_1,snomedct_us
"pain self-management deficit, acute",class_1,snomedct_us
pleuropericardial chest pain,class_1,snomedct_us
chronic abdominal pain,class_1,snomedct_us
algophobia,class_1,snomedct_us
thoracic discogenic pain,class_1,snomedct_us
pain radiating to center of chest,class_1,snomedct_us
pain on movement of thoracic spine,class_1,snomedct_us
constant pain,class_1,snomedct_us
geriatric chronic pain management specialty,class_1,snomedct_us
"pain self-management deficit, chronic",class_1,snomedct_us
neck pain,class_1,snomedct_us
post-herniorraphy pain,class_1,snomedct_us
tibiofibular joint pain,class_1,snomedct_us
pain of left sternoclavicular joint,class_1,snomedct_us
generalized chronic body pains,class_1,snomedct_us
referral to acute pain service,class_1,snomedct_us
thoracic nerve root pain,class_1,snomedct_us
complex regional pain syndrome of knee,class_1,snomedct_us
pricking pain,class_1,snomedct_us
pain coping strategies questionnaire,class_1,snomedct_us
left sided chest pain,class_1,snomedct_us
chest pain,class_1,snomedct_us
pain radiating to right side of chest,class_1,snomedct_us
postcordotomy pain,class_1,snomedct_us
chronic pain following radiotherapy,class_1,snomedct_us
chronic primary musculoskeletal pain,class_1,snomedct_us
cryalgesia,class_1,snomedct_us
central abdominal pain,class_1,snomedct_us
urinary tract pain,class_1,snomedct_us
feature of present pain intensity,class_1,snomedct_us
persistent testicular pain,class_1,snomedct_us
consultation for chronic pain,class_1,snomedct_us
"pain, referred",class_1,snomedct_us
posttreatment pain,class_1,snomedct_us
post-mastectomy chronic pain syndrome,class_1,snomedct_us
pain in thyroid,class_1,snomedct_us
pain rehabilitation,class_1,snomedct_us
chronic orofacial pain,class_1,snomedct_us
deep pain,class_1,snomedct_us
cancer pain and symptom management,class_1,snomedct_us
ulcer-type pain,class_1,snomedct_us
chronic pelvic pain without obvious pathology,class_1,snomedct_us
pain in bilateral lower legs,class_1,snomedct_us
pain characterized by relieving factor,class_1,snomedct_us
growing pains,class_1,snomedct_us
pain and symptom management,class_1,snomedct_us
pain level: disruptive effects,class_1,snomedct_us
pain of amputation stump of left lower limb,class_1,snomedct_us
chronic secondary facial pain,class_1,snomedct_us
pain relieved by analgesic,class_1,snomedct_us
stated pain intensity within acceptable range,class_1,snomedct_us
discharge by pain management nurse,class_1,snomedct_us
first metatarsophalangeal joint pain,class_1,snomedct_us
abdominal wind pain,class_1,snomedct_us
referral to pain management service,class_1,snomedct_us
metatarsophalangeal joint pain,class_1,snomedct_us
history of back pain,class_1,snomedct_us
varni-thompson pediatric pain questionnaire,class_1,snomedct_us
mastodynia,class_1,snomedct_us
complex regional pain syndrome type ii of right upper limb,class_1,snomedct_us
assessment of knowledge of pain management,class_1,snomedct_us
finding of pain tolerance,class_1,snomedct_us
bilateral heel pain,class_1,snomedct_us
non-cardiac chest pain,class_1,snomedct_us
elbow joint pain,class_1,snomedct_us
pain of right wrist,class_1,snomedct_us
deep pain on intercourse,class_1,snomedct_us
chronic visceral pain due to persistent inflammation,class_1,snomedct_us
neuropathic pain due to radiation,class_1,snomedct_us
chronic pain in face,class_1,snomedct_us
left lower quadrant pain,class_1,snomedct_us
clavicle pain,class_1,snomedct_us
pain relief,class_1,snomedct_us
unable to cope with pain,class_1,snomedct_us
pain radiating to lumbar region of back,class_1,snomedct_us
pattern of pain,class_1,snomedct_us
muscle tension pain,class_1,snomedct_us
phantom pain following amputation of penis,class_1,snomedct_us
esophageal chest pain,class_1,snomedct_us
pain of bilateral knee regions,class_1,snomedct_us
complex regional pain syndrome type 2 of bilateral upper limbs,class_1,snomedct_us
pain of bilateral upper limbs,class_1,snomedct_us
pain of left testicle,class_1,snomedct_us
pain clinics,class_1,snomedct_us
family history of backache,class_1,snomedct_us
agnosia for pain,class_1,snomedct_us
demonstrates knowledge of pain management,class_1,snomedct_us
pain provoked by breathing,class_1,snomedct_us
seen in rapid access chest pain clinic,class_1,snomedct_us
chronic visceral pain,class_1,snomedct_us
squeezing chest pain,class_1,snomedct_us
tenalgia,class_1,snomedct_us
pain of right thigh,class_1,snomedct_us
pain in abdominal region on palpation,class_1,snomedct_us
referred pain in shoulder from abdomen,class_1,snomedct_us
mechanical pain,class_1,snomedct_us
bladder pain,class_1,snomedct_us
pain and tenderness,class_1,snomedct_us
sore throat,class_1,snomedct_us
peripheral vascular disease with rest pain,class_1,snomedct_us
discharge by pain management specialist,class_1,snomedct_us
pain behavior present,class_1,snomedct_us
pain of oral cavity structure,class_1,snomedct_us
atypical facial pain,class_1,snomedct_us
catch - finding of sensory dimension of pain,class_1,snomedct_us
no pain on tooth percussion,class_1,snomedct_us
pain of left hand due to and following cerebrovascular accident,class_1,snomedct_us
pain of joint of left lower leg,class_1,snomedct_us
palliative procedure for pancreatic pain relief,class_1,snomedct_us
pain of amputation stump of right upper limb,class_1,snomedct_us
acute pain due to injury,class_1,snomedct_us
mild present pain,class_1,snomedct_us
pain on movement of lumbar spine,class_1,snomedct_us
musculoskeletal pain,class_1,snomedct_us
visceral pain,class_1,snomedct_us
pain in lumbar region on palpation,class_1,snomedct_us
hypochondriacal pain,class_1,snomedct_us
pain in right foot,class_1,snomedct_us
suprapubic pain,class_1,snomedct_us
angina pectoris,class_1,snomedct_us
left flank pain,class_1,snomedct_us
bilateral acromioclavicular joint pain,class_1,snomedct_us
chronic pain of right foot,class_1,snomedct_us
chronic musculoskeletal pain due to persistent inflammation,class_1,snomedct_us
greater trochanteric pain syndrome,class_1,snomedct_us
pain in both feet,class_1,snomedct_us
pain of left hip joint,class_1,snomedct_us
pain onset during moderate exercise,class_1,snomedct_us
squeezing pain,class_1,snomedct_us
chronic idiopathic anal pain,class_1,snomedct_us
referred otalgia,class_1,snomedct_us
generalized abdominal pain,class_1,snomedct_us
persistent pain following procedure,class_1,snomedct_us
continuous abdominal pain of left lower quadrant,class_1,snomedct_us
back pain worse on sneezing,class_1,snomedct_us
inadequate pain control,class_1,snomedct_us
epigastric pain syndrome,class_1,snomedct_us
breakthrough pain,class_1,snomedct_us
geriatric chronic pain management service,class_1,snomedct_us
assessment using brief pain inventory,class_1,snomedct_us
knee pain,class_1,snomedct_us
pain of right knee joint,class_1,snomedct_us
pain management medication delivery system,class_1,snomedct_us
pain by sensation quality,class_1,snomedct_us
pain of left wrist,class_1,snomedct_us
myofascial low back pain,class_1,snomedct_us
referral by pain management nurse,class_1,snomedct_us
superficial pain on intercourse,class_1,snomedct_us
pelvic pain,class_1,snomedct_us
evaluation of response to pain management interventions,class_1,snomedct_us
intractable breast pain,class_1,snomedct_us
normal sensation of pain,class_1,snomedct_us
iliac fossa pain,class_1,snomedct_us
pain in female perineum,class_1,snomedct_us
pain provoked by trauma,class_1,snomedct_us
pain of right sternoclavicular joint,class_1,snomedct_us
myofascial pain with referral,class_1,snomedct_us
excruciating pain,class_1,snomedct_us
assessment using brief pain coping inventory,class_1,snomedct_us
chronic pain control assessment,class_1,snomedct_us
facial pain,class_1,snomedct_us
acceptable pain level status,class_1,snomedct_us
craniofacial pain,class_1,snomedct_us
pain management specialist,class_1,snomedct_us
pain relief by sitting up,class_1,snomedct_us
abdominal pain characteristic,class_1,snomedct_us
acute pain clinic,class_1,snomedct_us
hip joint pain,class_1,snomedct_us
pain on movement of cervix,class_1,snomedct_us
pain of respiratory structure,class_1,snomedct_us
type of gastrointestinal tract pain,class_1,snomedct_us
heel pain,class_1,snomedct_us
pain of left knee region,class_1,snomedct_us
uncontrolled pain,class_1,snomedct_us
pain following cerebrovascular accident,class_1,snomedct_us
pain of bilateral forearms,class_1,snomedct_us
gnawing pain,class_1,snomedct_us
visceral abdominal pain,class_1,snomedct_us
breakthrough cancer pain,class_1,snomedct_us
complex regional pain syndrome type i of left upper limb,class_1,snomedct_us
central chest pain,class_1,snomedct_us
neck pain due to malignant neoplastic disease,class_1,snomedct_us
oral pain,class_1,snomedct_us
pain control management,class_1,snomedct_us
adult pain assessment,class_1,snomedct_us
pain co-occurrent and due to varicose veins of right leg,class_1,snomedct_us
no present pain,class_1,snomedct_us
pain of intercostal space,class_1,snomedct_us
pain on abdominal wall movement,class_1,snomedct_us
seen in pain clinic,class_1,snomedct_us
pain of bilateral upper limbs co-occurrent and due to ischemia,class_1,snomedct_us
pain in forearm,class_1,snomedct_us
cardiac pain,class_1,snomedct_us
able to tolerate generalized pain,class_1,snomedct_us
alert confusion voice pain unresponsive scale score,class_1,snomedct_us
"low back pain, mechanical",class_1,snomedct_us
pain in wrist,class_1,snomedct_us
pain in calf,class_1,snomedct_us
maxillary sinus pain,class_1,snomedct_us
adult chronic pain management service,class_1,snomedct_us
complex regional pain syndrome type i of bilateral upper limbs,class_1,snomedct_us
parasternal pain,class_1,snomedct_us
punishing with pain,class_1,snomedct_us
bilateral periorbital pain of eyes,class_1,snomedct_us
history of pain of multiple joints,class_1,snomedct_us
pain management education for family,class_1,snomedct_us
reflex sympathetic dystrophy,class_1,snomedct_us
pain in male genitalia,class_1,snomedct_us
pain in buttock,class_1,snomedct_us
chronic visceral pain due to vascular disorder,class_1,snomedct_us
causalgia,class_1,snomedct_us
abdominal pain through to back,class_1,snomedct_us
chronic mechanical visceral pain,class_1,snomedct_us
colicky pain,class_1,snomedct_us
joint pain of pelvic region,class_1,snomedct_us
complex regional pain syndrome of lower limb,class_1,snomedct_us
anterior chest wall pain,class_1,snomedct_us
distal radioulnar joint pain,class_1,snomedct_us
dejerine-roussy syndrome,class_1,snomedct_us
complex regional pain syndrome type i of left lower limb,class_1,snomedct_us
soft tissue rheumatism,class_1,snomedct_us
verbal rating scale for pain intensity,class_1,snomedct_us
pain in penis,class_1,snomedct_us
pain of bilateral lower limbs co-occurrent and due to ischemia,class_1,snomedct_us
chronic back pain,class_1,snomedct_us
ischemic foot with rest pain,class_1,snomedct_us
pain of right lower leg,class_1,snomedct_us
thalamic pain,class_1,snomedct_us
pain of toe of left foot,class_1,snomedct_us
right lower quadrant pain,class_1,snomedct_us
pain of erector spinae muscle,class_1,snomedct_us
sensation of pain reduced,class_1,snomedct_us
dysmenorrhea,class_1,snomedct_us
pain catastrophizing scale,class_1,snomedct_us
pain radiating to head,class_1,snomedct_us
radiating chest pain,class_1,snomedct_us
tingling pain,class_1,snomedct_us
pain level,class_1,snomedct_us
pain in palate,class_1,snomedct_us
pain radiating to middle abdomen,class_1,snomedct_us
complex regional pain syndromes,class_1,snomedct_us
