NAME,DIAGNOSE,TYPE,OCCURENCE
throbbing,class_1,clinician,7
jaw pain,class_1,snomedct_us,7
foot pain,class_1,snomedct_us,7
eye pain,class_1,snomedct_us,7
right flank pain,class_1,snomedct_us,7
shooting,class_1,clinician,6
chest wall pain,class_1,snomedct_us,6
acute abdominal pain,class_1,snomedct_us,6
intermittent pain,class_1,snomedct_us,6
thigh pain,class_1,snomedct_us,6
sharp pain,class_1,snomedct_us,6
intractable abdominal pain,class_1,snomedct_us,5
suprapubic pain,class_1,snomedct_us,5
pelvic pain,class_1,snomedct_us,5
atypical chest pain,class_1,snomedct_us,5
chronic low back pain,class_1,snomedct_us,5
crisi,class_1,additional,5
dynia,class_1,seed,4
pleurisy,class_1,clinician,4
pain radiating to right leg,class_1,snomedct_us,4
left sided chest pain,class_1,snomedct_us,4
musculoskeletal pain,class_1,snomedct_us,4
generalized abdominal pain,class_1,snomedct_us,4
pain level,class_1,snomedct_us,4
biliary colic,class_1,snomedct_us,4
radiating pain,class_1,snomedct_us,4
rebound tenderness,class_1,snomedct_us,4
bother,class_1,additional,4
shooting pain,class_1,snomedct_us,3
throbbing pain,class_1,snomedct_us,3
right upper quadrant pain,class_1,snomedct_us,3
left flank pain,class_1,snomedct_us,3
facial pain,class_1,snomedct_us,3
chronic pain syndrome,class_1,snomedct_us,3
stabbing pain,class_1,snomedct_us,3
ankle pain,class_1,snomedct_us,3
rib pain,class_1,snomedct_us,3
hand pain,class_1,snomedct_us,3
 lbp ,class_1,abbreviation,3
malignant bone pain,class_1,snomedct_us,2
pain crisis,class_1,snomedct_us,2
constant pain,class_1,snomedct_us,2
pain and symptom management,class_1,snomedct_us,2
left lower quadrant pain,class_1,snomedct_us,2
angina pectoris,class_1,snomedct_us,2
stomach ache,class_1,snomedct_us,2
acute pain service,class_1,snomedct_us,2
anal pain,class_1,snomedct_us,2
pain in limb,class_1,snomedct_us,2
right sided chest pain,class_1,snomedct_us,2
lancinating,class_1,additional,2
pounding,class_1,clinician,1
excruciating,class_1,clinician,1
right inguinal pain,class_1,snomedct_us,1
chronic chest pain,class_1,snomedct_us,1
anterior knee pain,class_1,snomedct_us,1
vaginal pain,class_1,snomedct_us,1
frontal sinus pain,class_1,snomedct_us,1
chronic abdominal pain,class_1,snomedct_us,1
deep pain,class_1,snomedct_us,1
history of back pain,class_1,snomedct_us,1
bladder pain,class_1,snomedct_us,1
squeezing pain,class_1,snomedct_us,1
heel pain,class_1,snomedct_us,1
pain in calf,class_1,snomedct_us,1
diffuse pain,class_1,snomedct_us,1
dull pain,class_1,snomedct_us,1
left sided abdominal pain,class_1,snomedct_us,1
right sided abdominal pain,class_1,snomedct_us,1
abdominal wall pain,class_1,snomedct_us,1
wound pain,class_1,snomedct_us,1
inguinal pain,class_1,snomedct_us,1
left upper quadrant pain,class_1,snomedct_us,1
renal pain,class_1,snomedct_us,1
polyarthralgia,class_1,snomedct_us,1
radicular pain,class_1,snomedct_us,1
pain score,class_1,snomedct_us,1
h/a,class_1,abbreviation,1
hurt,class_1,additional,1
prick,class_1,additional,1
